year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2016,53,云南,7.0751,5.0357,7.6187,7.2378,7.6248,5.7333,5.4303,6.4382,5.8287,6.4216,8.0955,11.5806,84.1203,9.2475,6.0345,8.9749,7.1157,7.9491,8.3001,10.4614,10.6064,10.1321,11.948,9.9428,14.1907,114.9032
2017,53,云南,6.3968,6.0094,7.118,8.2677,7.6904,8.4173,11.6103,8.1406,12.1115,11.1953,14.7184,18.1703,119.846,6.9778,5.2772,6.892,7.8495,7.7161,8.5198,9.4273,13.3206,11.0058,11.1218,12.3639,14.1935,114.6653
2018,53,云南,14.2848,13.2772,15.6971,17.9523,14.7221,14.3842,11.4694,14.3156,14.4425,11.2719,0,0,141.8171,7.9797,6.2314,11.2082,9.7453,9.3258,11.4567,9.4998,9.1448,13.5213,15.4718,0,0,103.5848
2003,54,西藏,0.0371,0.009,0.0365,0.0292,0.0174,0.0356,0.0147,0.0407,0.0239,0.0286,0.0413,0.0719,0.3859,0.0942,0.044,0.0746,0.0891,0.0925,0.0754,0.0906,0.0852,0.157,0.1576,0.1146,0.1377,1.2125
2004,54,西藏,0.0536,0.0831,0.0847,0.2356,0.0593,0.0503,0.0361,0.0449,0.0077,0.0058,0.0203,0.0154,0.6968,0.08,0.0735,0.1022,0.0519,0.0808,0.0618,0.0978,0.0933,0.1647,0.1772,0.1632,0.1556,1.302
2005,54,西藏,0.0135,0.0142,0.0352,0.0568,0.0114,0.0328,0.0437,0.0135,0.0427,0.0472,0.0427,0.047,0.4007,0.0978,0.041,0.1624,0.1513,0.129,0.1416,0.1064,0.0995,0.1534,0.2049,0.128,0.2384,1.6537
2006,54,西藏,0.0269,0.0119,0.0285,0.0668,0.0387,0.0639,0.0485,0.0897,0.1957,0.1836,0.137,0.1704,1.0616,0.1139,0.1054,0.1656,0.1464,0.1381,0.1194,0.1309,0.2716,0.2436,0.1558,0.2983,0.3331,2.2221
2007,54,西藏,0.0409,0.0119,0.0332,0.0917,0.0562,0.0276,0.0375,0.0438,0.0813,0.0804,0.0966,0.0698,0.6709,0.2459,0.0933,0.252,0.188,0.3096,0.2946,0.2482,0.2657,0.2512,0.3339,0.3878,0.3932,3.2634
2008,54,西藏,0.0404,0.0062,0.1044,0.0923,0.0162,0.0375,0.0581,0.0525,0.0562,0.0318,0.033,0.0541,0.5827,0.3451,0.1703,0.2289,0.1344,0.2532,0.2532,0.2733,0.5656,0.5119,0.7156,1.3842,2.2399,7.0756
2009,54,西藏,0.0375,0.0095,0.0171,0.0721,0.0294,0.0126,0.0156,0.0141,0.0239,0.0086,0.0128,0.0132,0.2664,0.3065,0.1398,0.2135,0.6066,0.376,0.2572,0.2532,0.2745,0.2178,0.26,0.4161,0.4334,3.7546
2010,54,西藏,0.1102,0.0106,0.2114,0.0442,0.0544,0.0348,0.0342,0.0217,0.012,0.0119,0.0512,0.0538,0.6504,0.5179,0.6138,0.2876,0.4438,0.6273,0.3547,0.4335,0.5479,0.6432,0.7649,1.1031,1.3726,7.7103
2011,54,西藏,0.0594,0.0038,0.0114,0.016,0.025,0.1364,0.4588,0.4474,0.0177,0.1063,0.4335,0.0395,1.7552,0.8172,0.3504,0.4326,0.4258,0.7127,0.7675,0.8146,1.419,1.467,0.8555,2.0128,1.7534,11.8285
2012,54,西藏,0.0134,0.0129,0.0151,0.021,0.0233,0.0193,0.0136,0.4446,0.0736,0.0156,0.0182,0.0192,0.6898,0.709,0.6603,1.1399,2.0262,2.6303,2.8872,5.8243,3.0899,5.2113,4.0945,2.8531,2.4258,33.5518
2013,54,西藏,0.0193,0.0052,0.017,0.0212,0.0256,0.0175,0.029,0.0289,0.056,0.2208,0.0309,0.0321,0.5035,6.8796,4.4059,1.7175,2.1235,0.9293,1.1662,1.5155,2.8095,3.1091,2.6245,2.4583,2.9516,32.6905
2014,54,西藏,0.0582,0.0273,0.0198,0.0427,0.055,0.0364,0.0399,0.0846,0.0889,0.287,0.1713,0.6296,1.5407,1.7974,0.493,0.6312,1.9046,1.7608,1.5808,1.4679,1.1928,2.2083,2.1622,2.9122,2.8976,21.0088
2015,54,西藏,0.1487,0.1119,0.3202,0.1599,0.5774,0.1272,0.2202,0.201,0.1694,0.9781,0.1411,0.1161,3.2712,1.2204,1.0565,0.8587,0.8222,0.0227,0.1163,0.6118,0.0973,0.1751,0.1389,0.0418,0.7073,5.869
2016,54,西藏,0.0495,0.0157,0.4914,0.0687,0.178,0.1782,1.2097,0.1826,0.1985,0.1719,0.1523,0.2055,3.102,0.4011,0.029,0.258,0.3888,0.5617,0.2941,0.3471,0.5605,0.4914,0.4812,0.5089,0.3954,4.7172
2017,54,西藏,0.2153,1.0477,0.1788,1.0537,0.2224,0.3403,0.2357,0.2748,0.2227,0.1048,0.23,0.1754,4.3016,0.4002,0.1777,0.226,0.2727,0.4851,0.3047,0.396,0.3722,0.4697,0.2815,0.4952,0.4518,4.3328
2018,54,西藏,0.1474,0.0244,1.0606,1.0269,0.1184,0.0841,0.0581,0.0754,0.1686,0.0916,0,0,2.8555,0.4236,0.3004,0.0988,0.3189,0.3164,0.2558,0.3147,0.1857,0.6047,0.526,0,0,3.345
2003,61,陕西,0.9703,0.4954,0.9352,1.0045,0.9487,0.8789,1.1391,0.819,0.7916,0.6437,0.8492,1.0093,10.4849,1.3555,1.0357,1.3495,1.6517,1.3319,1.3567,1.3784,1.4204,1.4595,1.4648,1.5309,2.0064,17.3414
2004,61,陕西,0.7575,0.9903,1.0539,1.1485,0.938,1.0695,1.0988,1.0631,1.3164,0.9801,0.9235,1.1183,12.4579,1.4949,1.0783,1.6277,1.8699,1.7759,2.0759,2.2947,2.0598,2.3983,2.4144,1.8809,2.9952,23.9659
2005,61,陕西,1.3249,0.8425,1.3469,1.2804,1.183,1.2447,1.2598,1.2179,1.3833,0.9457,1.928,1.0427,14.9998,2.3667,2.1539,2.3734,2.5454,2.578,3.0905,2.6173,2.72,2.6413,2.5776,2.6714,2.4333,30.7688
2006,61,陕西,1.1009,1.2464,1.2213,1.4721,1.0765,1.4284,1.3343,1.3884,1.9028,1.7011,1.6565,1.7781,17.3068,2.3575,2.2962,2.746,2.938,2.9041,2.8684,2.8601,3.2357,3.2853,2.7414,4.1541,3.9092,36.296
2007,61,陕西,2.0374,1.648,2.1059,1.7558,1.4305,1.8494,1.9729,1.555,2.0818,1.4666,1.945,2.2729,22.1212,3.7672,3.7334,3.39,3.6013,3.9487,4.161,3.9491,3.3832,3.9287,3.5059,4.5818,4.8025,46.7528
2008,61,陕西,1.974,1.3423,2.0566,2.4213,2.1128,2.8017,2.3415,2.877,2.9717,2.6248,2.5421,3.4141,29.4799,4.27,4.2296,4.3773,5.0656,4.5821,4.4522,4.9416,4.4725,4.5056,4.037,3.9943,4.8805,53.8083
2009,61,陕西,2.2662,3.3488,3.2431,3.969,4.0186,4.3561,4.3739,3.0079,4.2491,3.0936,3.5175,4.7286,44.1724,3.0816,2.3395,3.3971,2.8981,3.3608,3.3594,2.9428,2.8824,3.0718,2.9416,4.2704,5.3359,39.8814
2010,61,陕西,4.523,3.5722,4.1811,4.6491,4.8174,5.0179,5.0882,5.0103,4.6821,5.0238,6.0667,6.3029,58.9347,3.5349,4.8882,4.6371,4.7322,4.7343,4.7469,5.7544,6.1361,5.1066,5.2403,6.0277,6.5434,62.0821
2011,61,陕西,6.4906,4.6802,5.6353,6.119,7.1995,6.1399,5.6871,7.2314,6.8943,4.9567,6.4466,8.642,76.1226,5.3746,4.4351,7.2294,5.8038,5.4413,5.9098,5.8467,6.2665,5.5025,4.8219,6.8554,6.8632,70.3502
2012,61,陕西,3.9054,5.2593,5.2878,4.5941,5.2922,5.1781,5.1783,5.8333,5.6751,4.8751,5.2133,5.1756,61.4676,5.4753,5.1925,6.1495,6.2888,6.9281,5.9191,6.1859,6.966,6.5336,5.5223,12.7667,12.5949,86.5227
2013,61,陕西,7.1393,4.141,6.7217,6.1551,8.4733,7.1997,8.544,10.6273,9.8566,9.1758,12.8985,8.1006,99.0329,7.7236,5.8883,6.5677,7.2238,7.812,6.9776,9.2302,10.8978,9.2383,8.8234,11.8884,9.9885,102.2596
2014,61,陕西,23.8886,10.4,10.2905,10.9588,10.2476,8.8864,8.481,8.8349,10.3722,9.5863,9.7546,12.6844,134.3853,10.8792,8.1641,9.7639,10.8331,13.3081,9.8391,11.4939,10.6841,12.367,11.5994,12.9149,17.4512,139.298
2015,61,陕西,11.3411,10.354,13.3195,11.5477,11.4909,11.0925,17.4791,16.8866,17.0616,13.5322,11.5596,11.4405,157.1053,13.1828,11.385,10.532,11.2306,10.9052,11.855,10.7292,15.2427,12.9569,13.5514,12.2225,14.0943,147.8876
2016,61,陕西,9.8991,10.0191,13.1146,13.9857,12.6497,11.9641,11.2558,11.3999,11.1747,10.9415,12.9137,11.7787,141.0966,10.828,10.9585,13.3091,12.3116,14.0524,12.5902,15.6159,13.2595,11.8512,13.57,13.8404,16.1889,158.3757
2017,61,陕西,11.4846,11.6414,12.752,13.0403,12.1134,13.8289,12.2664,14.0112,14.8272,12.1667,14.9473,13.5105,156.5899,14.8639,14.267,17.9303,15.741,18.1046,18.3818,21.1652,27.9024,22.2929,18.8906,28.6423,27.2562,245.4382
2018,61,陕西,17.4509,15.1492,18.0902,16.2222,19.6396,16.235,17.3689,17.4819,17.7248,19.1574,0,0,174.5201,29.429,22.7985,25.7575,25.1589,35.157,27.1351,25.8296,28.776,22.4903,23.3609,0,0,265.8928
2003,62,甘肃,0.3662,0.2207,0.3957,0.3017,0.3159,0.2085,0.3945,0.2447,0.4272,0.4439,0.4703,0.7102,4.4995,0.5729,0.6176,0.4986,0.7016,0.6816,0.6936,0.7055,0.7504,0.6347,0.6371,0.9788,1.2996,8.772
2004,62,甘肃,0.7934,0.5285,0.5034,0.5792,0.7452,0.3908,0.4814,0.5425,0.9636,0.7888,0.5618,0.7889,7.6675,0.8025,0.6918,0.6122,0.7685,0.6823,0.6932,0.6781,0.9524,0.9825,0.7797,0.8283,1.4921,9.9636
2005,62,甘肃,0.7799,1.0762,1.082,1.2618,0.9931,1.5831,0.9605,1.8758,1.283,1.1744,1.7728,1.5501,15.3927,0.9382,0.6331,1.0786,0.9907,1.0373,1.2805,0.8932,0.7229,0.7469,0.8677,0.7975,0.9235,10.9101
2006,62,甘肃,1.0753,0.9916,0.959,1.231,1.7537,1.5338,1.7965,2.2639,2.924,1.8348,3.1606,3.6291,23.1533,0.9848,0.6733,1.0473,1.458,1.3792,1.2458,1.2827,1.5741,1.1741,1.158,1.3308,1.7878,15.0959
2007,62,甘肃,2.8525,2.164,3.2902,2.5312,2.7047,4.8116,3.083,4.9235,2.9458,2.5584,3.6137,3.1215,38.6001,1.3473,1.638,1.4805,1.5967,1.5818,1.7577,1.0824,0.9975,1.0396,0.859,1.2932,1.906,16.5797
2008,62,甘肃,4.5519,3.2941,4.9204,5.0213,5.07,2.5595,4.1228,3.9122,3.8261,2.6458,3.4433,1.5734,44.9408,1.0603,1.0084,1.0624,1.2609,1.4053,1.1886,2.4433,1.7751,1.5945,1.1537,0.9416,1.1195,16.0136
2009,62,甘肃,2.4883,2.1069,1.9027,2.7506,1.4438,2.0829,2.6226,2.1458,2.7481,2.0197,4.1697,4.8194,31.3005,0.5168,0.3741,0.4621,0.619,0.4375,0.5494,0.5874,0.5702,0.6878,0.6507,0.8095,1.0906,7.3551
2010,62,甘肃,4.5524,6.0411,4.1942,7.0638,4.0139,4.6424,4.3149,4.3885,4.0951,3.9895,4.9211,5.4346,57.6515,1.0491,0.56,0.8065,0.6415,1.2102,1.1519,1.2432,2.9125,3.2194,1.0143,1.2079,1.3613,16.3778
2011,62,甘肃,7.7215,4.6047,6.6362,4.912,5.7055,5.7427,5.8475,5.9083,4.9007,3.7109,5.0326,4.9755,65.6981,2.4095,1.0171,2.4753,3.2546,2.8371,1.742,1.4286,1.2098,1.0418,1.0293,1.463,1.6796,21.5877
2012,62,甘肃,3.6435,4.1699,4.673,5.6091,4.583,4.8402,4.2245,5.3125,4.1543,4.4806,4.0294,3.5522,53.2722,3.4043,1.8216,1.2195,2.5608,15.1639,4.1629,1.1576,1.0318,1.3438,1.3341,1.212,1.3232,35.7355
2013,62,甘肃,4.6847,3.3666,7.083,6.521,4.3849,4.0596,4.8666,3.7038,3.3881,6.4502,4.6112,2.7166,55.8363,5.3064,5.2116,2.7246,3.5565,4.8378,1.8758,1.2778,4.5832,1.9313,9.1045,3.7898,2.5886,46.7879
2014,62,甘肃,3.8171,2.5118,4.013,2.3618,1.9181,1.4574,2.4506,2.7155,4.648,2.1981,2.5941,2.4246,33.1101,20.3809,5.162,2.7996,1.6299,1.6493,1.5692,1.5899,3.5757,5.0655,5.2704,2.8745,1.7461,53.313
2015,62,甘肃,1.7118,1.9188,1.9584,2.1112,1.8812,1.723,2.0321,1.4128,2.0482,1.5795,1.4189,1.6721,21.468,13.9012,5.5385,1.9054,1.8384,7.1769,2.4102,1.2506,1.7175,3.4323,2.866,7.4136,8.6725,58.1231
2016,62,甘肃,1.1318,1.4465,1.849,1.7322,2.701,2.075,1.7754,2.0602,2.032,2.4397,3.6385,4.8229,27.7042,4.6521,3.8507,3.2458,3.7295,7.0934,8.6337,2.1506,1.2122,0.998,1.2996,1.6552,2.1049,40.6257
2017,62,甘肃,2.8778,1.6992,2.3688,2.2077,2.7388,1.9389,1.9846,2.9785,3.0532,3.2744,3.2036,2.84,31.1655,1.2477,0.9471,1.1623,1.2106,1.2938,1.0434,1.1076,1.2921,1.3101,1.595,2.0798,2.8083,17.0978
2018,62,甘肃,3.2815,2.2824,4.0926,3.3138,4.092,3.6252,3.1001,3.1725,3.0091,2.6566,0,0,32.6258,2.0384,1.4992,1.8415,1.7541,1.8069,1.6418,2.2054,1.8446,1.6357,2.1902,0,0,18.4578
2003,63,青海,0.0222,0.0149,0.0039,0.1828,0.121,0.0533,0.0024,0.0243,0.0463,0.1284,0.0459,0.007,0.6524,0.1453,0.1177,0.1479,0.1368,0.1571,0.1751,0.2631,0.2807,0.289,0.2491,0.392,0.3852,2.739
2004,63,青海,0.1132,0.1017,0.0597,0.0558,0.0756,0.054,0.0116,0.0561,0.1569,0.103,0.1375,0.2825,1.2076,0.3315,0.1104,0.2146,0.2954,0.229,0.3267,0.2329,0.3985,0.6292,0.598,0.6435,0.5379,4.5476
2005,63,青海,0.046,0.0205,0.1183,0.0904,0.0998,0.1009,0.0664,0.0036,0.0811,0.0202,0.1661,0.0877,0.901,0.2093,0.2352,0.2528,0.2919,0.5092,0.2659,0.2997,0.1934,0.2192,0.2232,0.2655,0.2665,3.2318
2006,63,青海,0.0671,0.0067,0.2907,0.044,0.1616,0.0216,0.0686,0.0173,0.0864,0.0179,0.0936,0.2996,1.1751,0.2445,0.2146,0.452,0.3964,0.271,0.2851,0.4647,0.5416,0.5275,0.5307,0.8648,0.5491,5.342
2007,63,青海,0.1445,0.0508,0.1724,0.3614,0.1354,0.0132,0.2471,0.1318,0.4574,0.276,0.1274,0.1443,2.2617,0.3341,0.2799,0.2739,0.3252,0.3042,0.317,0.3139,0.2934,0.2741,0.3001,0.3887,0.4567,3.8612
2008,63,青海,0.1188,0.2005,0.2236,0.1175,0.1797,0.2017,0.4598,0.1743,0.0875,0.2042,0.1531,0.5767,2.6974,0.1694,0.2114,0.2472,0.2624,0.3254,0.4149,0.4784,0.5409,0.4502,0.4338,0.3484,0.3085,4.1909
2009,63,青海,0.1375,0.2357,0.2297,0.1837,0.5464,0.2227,0.2806,0.2338,0.2066,0.4643,0.4211,0.1869,3.349,0.2095,0.0921,0.1231,0.1406,0.142,0.1435,0.1998,0.231,0.2492,0.2803,0.3103,0.3972,2.5186
2010,63,青海,0.2745,0.2951,0.2753,0.2755,0.4681,0.2056,0.2138,0.2929,0.0477,0.387,0.2518,0.2404,3.2277,0.2571,0.2394,0.2863,0.306,0.4762,0.4695,0.4065,0.272,0.4424,0.4828,0.5139,0.5098,4.6619
2011,63,青海,0.3197,0.3318,0.1198,0.1621,0.2803,0.2295,0.1462,0.1507,0.0386,0.1319,0.3133,0.3962,2.6201,0.3954,0.2703,0.4193,0.6826,0.8496,0.9048,0.5538,0.4836,0.4939,0.3055,0.4989,0.7606,6.6183
2012,63,青海,0.2738,0.2598,0.3942,0.3559,0.1913,0.5436,0.4481,0.5942,0.3346,0.3182,0.3205,0.2529,4.2871,0.3086,0.2358,0.3851,0.4277,0.4077,0.4391,0.448,0.473,0.5571,0.5585,1.2289,1.8182,7.2877
2013,63,青海,0.271,0.4321,0.2327,0.412,0.3903,0.4143,0.4096,0.4269,0.8553,0.4345,0.6364,0.6397,5.5548,0.4784,0.4579,0.4537,0.7481,0.4667,0.4663,0.6243,2.0625,0.6883,0.4027,0.4496,1.1741,8.4726
2014,63,青海,0.9139,0.2778,0.8793,0.701,0.3947,0.408,0.4232,0.1944,0.4973,0.5572,0.3743,0.2869,5.908,0.3996,0.1578,0.308,0.499,0.5522,0.5514,0.6453,0.4436,2.1548,2.8804,0.8765,1.8103,11.2789
2015,63,青海,0.4495,0.2931,0.3578,0.2873,0.1783,0.1723,0.1582,0.2849,0.2325,0.1849,0.0985,0.2278,2.9251,0.6602,0.546,1.6248,1.1761,0.3478,1.5468,1.2237,4.0826,0.9888,1.2066,2.3229,0.6934,16.4197
2016,63,青海,0.2177,0.1102,0.0527,0.0632,0.1061,0.071,0.2128,0.2456,0.0514,0.1452,0.1746,0.1408,1.5913,0.2425,0.1646,0.1773,0.203,0.542,4.4041,1.3816,0.9404,1.9895,2.506,0.913,0.2366,13.7006
2017,63,青海,0.1172,0.0718,0.3384,0.2405,0.1184,0.2862,0.2253,0.1897,0.3924,0.1678,0.0512,0.1167,2.3156,0.3297,0.0955,0.2806,0.7473,0.3616,0.2829,0.3997,0.3464,0.2149,0.2766,0.5262,0.3803,4.2417
2018,63,青海,0.2102,0.0143,0.0669,0.1549,0.2896,0.3092,0.2909,0.121,0.115,0.2305,0,0,1.8025,0.279,0.3616,0.2332,0.3967,0.3695,0.3638,0.358,0.5503,0.3425,0.4464,0,0,3.701
2003,64,宁夏,0.027,0.0431,0.1354,0.1455,0.0796,0.107,0.1694,0.0975,0.1185,0.0622,0.1794,0.248,1.4126,0.3028,0.308,0.3235,0.3753,0.346,0.3655,0.4174,0.5336,0.5309,0.4224,0.6197,0.5745,5.1196
2004,64,宁夏,0.0635,0.0817,0.0982,0.1101,0.2126,0.4775,0.3957,0.2691,0.2045,0.1141,0.2164,0.3761,2.6195,0.5092,0.332,0.52,0.5886,0.4823,0.4986,0.4526,0.6187,0.606,0.5381,0.5936,0.7231,6.4628
2005,64,宁夏,0.0844,0.4353,0.2508,0.411,0.038,0.3598,0.1923,0.0922,0.3349,0.1606,0.353,0.0792,2.7915,0.6053,0.3929,0.5901,0.5141,0.63,0.605,0.5576,0.559,0.5774,0.5591,0.5886,0.6951,6.8742
2006,64,宁夏,0.6641,0.3918,0.4756,0.2255,0.1209,0.5374,0.6044,0.3793,0.3741,0.3403,0.4124,0.4191,4.9449,0.5199,0.4396,0.765,0.8175,0.7372,0.8168,0.8682,0.8375,0.9272,0.826,0.9408,0.9305,9.4262
2007,64,宁夏,0.4118,0.1581,0.4504,0.4633,0.3467,0.503,0.4226,0.3244,0.6383,0.2603,0.5044,0.4751,4.9584,0.7552,0.8201,0.7207,0.8743,0.8559,0.8572,0.8538,1.0171,0.8617,0.9323,1.2377,1.0711,10.8571
2008,64,宁夏,0.5553,0.2375,0.566,0.6598,0.7016,0.4348,0.7594,0.6485,0.7593,0.4174,0.2257,0.2451,6.2104,0.8891,0.796,1.0341,1.0637,1.1519,1.2378,1.3672,1.3029,1.1735,1.0684,0.7583,0.7407,12.5836
2009,64,宁夏,0.2569,0.252,0.2133,0.4001,0.3542,0.5438,0.574,0.2897,0.5184,0.4762,0.456,0.261,4.5956,0.5721,0.4421,0.4787,0.5179,0.4848,0.5411,0.5612,0.6268,0.8882,0.7396,0.6569,0.9198,7.4292
2010,64,宁夏,0.6674,0.4904,0.6279,0.5847,0.5337,0.5553,0.7082,0.8654,0.8745,0.5772,0.6569,0.7582,7.8998,0.7788,0.5642,0.8512,0.7916,1.1411,0.9939,1.1236,1.0514,1.1445,1.0057,1.1826,1.0715,11.7001
2011,64,宁夏,0.7721,0.2521,0.7088,0.555,0.9178,0.5555,0.6559,0.5917,0.4288,0.3169,0.6455,0.4631,6.8632,1.2309,0.8238,1.3491,1.3279,1.3052,1.3923,1.3016,1.7886,1.2759,1.2446,1.4344,1.5198,15.9941
2012,64,宁夏,0.2919,0.405,0.7534,0.4862,0.7205,0.3706,0.5934,0.474,0.5949,0.4698,0.3244,0.2718,5.7559,0.8934,0.8573,1.1593,1.156,1.1763,2.7263,1.4572,1.2439,1.1398,2.0081,1.6316,0.9622,16.4114
2013,64,宁夏,0.4186,0.2213,0.6282,0.5039,0.6127,0.501,0.479,0.8237,0.8355,0.6718,0.6086,0.351,6.6553,2.187,1.942,1.6094,3.8998,5.4004,1.7007,1.3154,1.6823,1.6813,1.5598,1.3061,1.2384,25.5226
2014,64,宁夏,0.6282,0.263,0.8069,0.6542,0.3897,0.4872,0.5894,1.579,1.8733,1.4228,1.6705,0.9598,11.324,8.7413,1.9061,1.9752,3.4727,3.5792,3.4006,2.697,3.2574,2.7957,3.6476,4.3759,3.1792,43.0279
2015,64,宁夏,0.5576,0.5878,0.6544,0.3907,0.5449,0.5401,0.5377,0.5554,0.5676,0.6188,1.3605,0.8458,7.7613,2.4716,2.5248,1.6348,1.191,1.7192,2.5235,5.8445,3.5467,2.8604,1.6837,1.8525,1.7784,29.6311
2016,64,宁夏,0.7624,0.5794,0.4357,0.5447,0.8302,1.0844,0.5519,0.4535,0.5252,0.4512,0.8706,0.5682,7.6574,1.1294,0.7957,1.3225,1.2978,1.3704,1.7341,1.5091,2.5628,4.5442,3.2774,3.2782,2.0459,24.8675
2017,64,宁夏,0.975,0.583,1.3997,1.0303,1.5393,0.6925,0.6579,1.4317,1.3453,1.4427,1.3799,1.4072,13.8845,4.8525,1.1324,1.7825,2.3421,3.388,3.34,3.1604,3.7034,4.2041,2.0802,3.0067,3.5185,36.5108
2018,64,宁夏,1.3048,0.3839,1.6519,0.6802,0.809,0.7492,0.765,0.6992,0.7119,0.6718,0,0,8.4269,2.2126,1.368,2.5396,3.3669,2.1671,2.1542,2.19,1.6506,1.932,1.9389,0,0,21.5199
2003,65,新疆,1.775,1.3376,2.0451,1.8766,2.032,1.9372,2.0427,1.7758,1.9169,1.7659,1.7704,2.0178,22.293,1.1258,0.7397,1.2731,1.4455,1.2307,1.1016,1.8759,2.0982,2.8177,3.4111,3.5879,4.6983,25.4055
2004,65,新疆,1.7901,3.1511,3.7335,2.277,1.9274,2.2655,1.8487,1.5295,1.7638,1.8141,2.0613,1.7205,25.8825,1.8498,2.2402,2.1095,1.9821,1.6152,1.7005,1.7822,1.9173,2.4861,2.1177,4.6634,5.9988,30.4628
2005,65,新疆,2.0467,2.4382,2.3966,2.0414,2.473,2.3685,2.1239,2.8734,2.7579,2.3066,2.2901,2.8994,29.0157,2.1944,1.5068,2.8183,3.2919,2.8155,3.9331,4.7066,4.7794,6.7619,4.8039,6.2529,6.5245,50.3892
2006,65,新疆,1.6223,2.4135,2.6492,2.1156,1.8927,1.5777,1.4064,1.2915,1.2203,1.1656,1.3131,0.9724,19.6403,3.4375,3.7353,5.0662,5.5113,4.5369,5.4122,5.6049,6.4077,8.779,6.4081,8.454,8.0394,71.3925
2007,65,新疆,1.3072,0.9851,1.4919,1.3715,1.1307,1.4047,1.6226,3.891,3.1004,2.9811,1.3533,1.497,22.1365,5.1155,4.6359,4.6205,7.4366,7.5939,9.6483,10.7426,10.7436,13.0421,12.1246,16.747,12.5747,115.0253
2008,65,新疆,2.0147,1.3629,1.2143,1.5417,1.5093,3.271,5.9648,5.594,3.4676,1.3489,0.9259,0.9676,29.1827,11.8141,5.9773,12.2027,15.6173,16.4377,16.8587,20.0367,15.1419,19.7636,21.4502,21.6801,16.0106,192.9909
2009,65,新疆,1.2246,1.5934,1.4945,1.6038,1.612,2.3004,1.6951,4.3343,4.8243,1.2057,3.5004,4.7442,30.1327,9.4304,4.5989,8.7095,8.3847,7.3421,8.4506,8.6768,9.4049,12.0722,10.4954,11.3839,10.3963,109.3457
2010,65,新疆,1.7704,1.5988,1.8466,2.172,2.0428,2.3103,2.0954,5.7353,4.7108,6.9723,7.6834,2.6772,41.6153,7.8339,7.2822,6.8571,10.5395,10.1741,9.577,9.6105,12.9177,13.7845,12.1025,15.7696,13.2378,129.6864
2011,65,新疆,4.3429,5.779,8.6973,3.0892,3.2117,2.7587,9.4533,2.5192,2.3394,1.8222,7.6524,8.2742,59.9395,9.7193,5.2674,11.0178,14.6385,9.9759,11.4501,14.1632,17.0813,18.6835,17.3064,20.6683,18.2854,168.2571
2012,65,新疆,2.3352,6.4925,2.2753,9.7372,2.536,2.0242,2.9717,2.2026,2.1209,10.0025,10.7145,4.8316,58.2442,10.136,7.6246,12.5854,13.4579,13.4762,15.5657,21.3267,18.1914,22.5914,14.4301,20.6281,23.4429,193.4564
2013,65,新疆,2.1801,1.8085,2.4926,2.8868,2.4629,2.1276,1.9641,2.0036,9.2633,9.3937,11.443,4.9065,52.9327,21.2232,12.549,12.1282,17.1159,15.4518,12.299,18.6231,22.7781,22.5454,16.4445,17.4595,34.0676,222.6853
2014,65,新疆,2.1025,1.5021,1.9417,1.8807,1.8174,2.3205,2.6775,6.2769,3.1154,5.8464,6.5833,5.8457,41.9101,22.4048,7.5669,12.1224,17.0404,14.0562,14.3437,18.0969,23.3575,37.4924,29.5745,20.1903,18.573,234.819
2015,65,新疆,1.477,1.2001,1.4317,1.9411,2.2449,1.9782,2.6286,2.1184,1.5929,1.5371,1.6514,1.93,21.7314,10.0758,8.6756,6.5771,13.038,10.7584,11.1298,16.9389,17.3465,33.1723,18.3871,17.6887,11.1725,174.9607
2016,65,新疆,1.4697,1.1381,1.5721,2.2492,1.7768,1.6331,1.5444,2.0131,1.5238,1.5317,2.0966,2.0073,20.5559,10.022,6.4068,8.5966,13.4831,9.9545,9.2389,11.2193,16.4616,20.6032,16.0249,17.5187,16.2921,155.8217
2017,65,新疆,2.0717,2.3025,2.8421,1.8131,1.9951,1.6942,2.4689,2.6286,2.6884,3.0742,3.3477,2.4253,29.3518,14.2795,7.9599,14.6309,15.3973,11.4593,14.0863,15.2774,17.5334,18.9639,14.5617,18.0728,14.1109,176.3333
2018,65,新疆,3.32,2.3433,2.8507,2.8029,3.2001,2.8465,3.4899,3.2416,2.6226,2.7356,0,0,29.4532,15.5734,11.6899,8.9514,11.3491,11.3952,11.6673,13.1841,13.7376,15.988,13.9415,0,0,127.4775
