I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,
I,2018/10/28 12:01,3715,3715,142,9106 ,
I,2018/10/28 12:04,3715,3715,143,9243 ,
I,2018/10/28 12:09,3715,3715,141,9407 ,
E,2018/10/28 12:10,3715,3715,303,9468 ,
I,2018/10/28 12:11,3715,3715,303,9480 ,
I,2018/10/28 12:12,3715,3715,142,9521 ,
I,2018/10/28 12:15,3715,3715,303,9652 ,
I,2018/10/28 12:19,3715,3715,309,9784 ,
I,2018/10/28 12:20,3715,3715,142,9824 ,
I,2018/10/28 12:24,3715,3715,143,9999 ,
I,2018/10/28 12:26,3715,3715,303,10076 ,
I,2018/10/28 12:30,3715,3715,143,10222 ,
I,2018/10/28 12:33,3715,3715,111,10324 ,
I,2018/10/28 12:34,3715,3715,307,10364 ,
I,2018/10/28 12:36,3715,3715,444,10447 ,
I,2018/10/28 12:38,3715,3715,142,10501 ,
I,2018/10/28 12:40,3715,3715,142,10607 ,
I,2018/10/28 12:42,3715,3715,142,10656 ,
I,2018/10/28 12:44,3715,3715,110,10736 ,
I,2018/10/28 12:44,3715,3715,129,10736 ,
I,2018/10/28 12:45,3715,3715,142,10792 ,
I,2018/10/28 12:48,3715,3715,142,10891 ,
I,2018/10/28 12:49,3715,3715,303,10945 ,
I,2018/10/28 12:50,3715,3715,116,10980 ,
I,2018/10/28 12:51,3715,3715,304,10998 ,
I,2018/10/28 12:52,3715,3715,142,11053 ,
I,2018/10/28 12:54,3715,3715,137,11110 ,
I,2018/10/28 12:54,3715,3715,137,11131 ,
I,2018/10/28 12:56,3715,3715,143,11177 ,
E,2018/10/28 12:57,3708,3708,110,11226 ,
I,2018/10/28 12:59,3715,3715,142,11318 ,
I,2018/10/28 13:03,3715,3715,142,11446 ,
I,2018/10/28 13:05,3715,3715,137,11520 ,
I,2018/10/28 13:06,3715,3715,142,11557 ,
I,2018/10/28 13:06,3715,3715,502,11562 ,
I,2018/10/28 13:07,3715,3715,116,11615 ,
I,2018/10/28 13:08,3715,3715,122,11663 ,
I,2018/10/28 13:08,3715,3715,502,11663 ,
I,2018/10/28 13:10,3715,3715,142,11729 ,
E,2018/10/28 13:10,3708,3708,141,11729 ,
I,2018/10/28 13:11,3715,3715,110,11757 ,
I,2018/10/28 13:12,3715,3715,116,11802 ,
I,2018/10/28 13:15,3715,3715,305,11894 ,
I,2018/10/28 13:16,3715,3715,116,11958 ,
E,2018/10/28 13:22,3708,3708,110,12168 ,
E,2018/10/28 13:28,3708,3708,137,12393 ,
I,2018/10/28 13:30,3715,3715,142,12469 ,
E,2018/10/28 13:34,3708,3708,502,12622 ,
I,2018/10/28 13:43,3715,3715,304,12957 ,
I,2018/10/28 13:43,3715,3715,116,12979 ,
I,2018/10/28 13:44,3715,3715,142,12999 ,
E,2018/10/28 13:47,3708,3708,110,13120 ,
E,2018/10/28 15:00,3711,3711,142,15385 ,
E,2018/10/28 15:06,3715,3507,142,15607 ,
E,2018/10/28 15:07,3715,3507,304,15649 ,
E,2018/10/28 15:09,3715,3507,502,15706 ,
E,2018/10/28 15:10,3715,3507,143,15746 ,
E,2018/10/28 15:28,3708,3708,129,16424 ,
E,2018/10/28 15:28,3708,3708,142,16447 ,
E,2018/10/28 15:29,3708,3708,142,16468 ,
E,2018/10/28 15:29,3708,3708,142,16496 ,
E,2018/10/28 15:30,3708,3708,142,16521 ,
E,2018/10/28 16:12,3708,3708,410,18100 ,
E,2018/10/28 16:40,3711,3711,502,19177 ,
E,2018/10/28 17:33,3708,3708,502,21166 ,
I,2018/10/29 7:47,3725,3725,331,23431 ,
I,2018/10/29 7:50,3725,3725,116,23534 ,
I,2018/10/29 7:51,3725,3725,110,23574 ,
I,2018/10/29 7:55,3708,3708,111,23716 ,
E,2018/10/29 7:57,3715,3715,142,23789 ,
I,2018/10/29 8:00,3708,3708,142,23923 ,
I,2018/10/29 8:22,3703,3708,307,24725 ,
I,2018/10/29 8:26,3703,3708,307,24873 ,
I,2018/10/29 8:37,3725,3725,143,25298 ,
I,2018/10/29 8:37,3709,3708,429,25322 ,
I,2018/10/29 8:38,3725,3725,110,25335 ,
I,2018/10/29 8:38,3711,3711,502,25345 ,
E,2018/10/29 8:38,3708,3708,136,25355 ,
I,2018/10/29 8:39,3708,3708,129,25362 ,
E,2018/10/29 8:39,3711,3711,110,25376 ,
E,2018/10/29 8:39,3708,3708,143,25388 ,
I,2018/10/29 8:40,3718,3715,142,25403 ,
I,2018/10/29 8:40,3725,3725,309,25408 ,
I,2018/10/29 8:40,3708,3708,142,25419 ,
E,2018/10/29 8:40,3708,3708,122,25430 ,
I,2018/10/29 8:41,3725,3725,133,25463 ,
E,2018/10/29 8:41,3708,3708,307,25472 ,
E,2018/10/29 8:42,3711,3711,143,25510 ,
I,2018/10/29 8:44,3711,3711,110,25563 ,
I,2018/10/29 8:44,3708,3708,132,25570 ,
I,2018/10/29 8:44,3725,3725,116,25574 ,
E,2018/10/29 8:44,3711,3711,502,25580 ,
E,2018/10/29 8:44,3708,3708,129,25582 ,
E,2018/10/29 8:45,3717,3717,143,25588 ,
E,2018/10/29 8:45,3708,3708,502,25595 ,
E,2018/10/29 8:45,3717,3717,110,25599 ,
E,2018/10/29 8:45,3717,3717,129,25611 ,
I,2018/10/29 8:46,3718,3715,502,25631 ,
E,2018/10/29 8:46,3708,3708,502,25639 ,
I,2018/10/29 8:47,3713,5141,303,25680 ,
E,2018/10/29 8:47,3708,3708,502,25683 ,
I,2018/10/29 8:48,3706,3708,502,25701 ,
I,2018/10/29 8:48,3709,3709,601,25704 ,
E,2018/10/29 8:48,3708,3708,110,25726 ,
I,2018/10/29 8:48,3715,3715,142,25726 ,
I,2018/10/29 8:49,3709,3709,303,25739 ,
E,2018/10/29 8:49,3708,3708,143,25739 ,
E,2018/10/29 8:49,3708,3708,142,25756 ,
I,2018/10/29 8:50,3713,5141,142,25790 ,
E,2018/10/29 8:50,3711,3711,133,25793 ,
E,2018/10/29 8:50,3708,3708,122,25794 ,
E,2018/10/29 8:51,3708,3708,137,25828 ,
E,2018/10/29 8:51,3709,3709,344,25832 ,
I,2018/10/29 8:52,3713,5141,304,25854 ,
I,2018/10/29 8:52,3722,3711,304,25854 ,
E,2018/10/29 8:52,3709,3709,116,25855 ,
E,2018/10/29 8:52,3708,3708,142,25860 ,
E,2018/10/29 8:52,3708,3708,309,25872 ,
I,2018/10/29 8:52,3715,3715,502,25875 ,
I,2018/10/29 8:52,3708,3708,142,25881 ,
E,2018/10/29 8:53,3717,3717,132,25911 ,
E,2018/10/29 8:53,3717,3717,129,25922 ,
E,2018/10/29 8:53,3711,3711,122,25922 ,
E,2018/10/29 8:53,3711,3711,112,25923 ,
I,2018/10/29 8:54,3713,5141,132,25936 ,
E,2018/10/29 8:55,3708,3708,311,25978 ,
E,2018/10/29 8:55,3708,3708,142,25978 ,
I,2018/10/29 8:56,3709,3709,142,26004 ,
I,2018/10/29 8:56,3713,5141,502,26009 ,
I,2018/10/29 8:56,3709,3709,143,26017 ,
I,2018/10/29 8:56,3713,5301,142,26028 ,
E,2018/10/29 8:56,3708,3708,303,26035 ,
E,2018/10/29 8:56,3708,3708,601,26040 ,
I,2018/10/29 8:57,3709,3709,142,26044 ,
I,2018/10/29 8:57,3713,5141,110,26046 ,
I,2018/10/29 8:57,3708,3708,110,26051 ,
I,2018/10/29 8:57,3709,3709,116,26061 ,
I,2018/10/29 8:57,3709,3708,110,26061 ,
E,2018/10/29 8:57,3708,3708,303,26069 ,
E,2018/10/29 8:57,3708,3708,142,26072 ,
E,2018/10/29 8:57,3708,3708,143,26077 ,
I,2018/10/29 8:58,3715,101,142,26088 ,
I,2018/10/29 8:58,3708,3708,132,26089 ,
E,2018/10/29 8:58,3708,3708,307,26093 ,
E,2018/10/29 8:58,3708,3708,142,26098 ,
E,2018/10/29 8:58,3708,3708,142,26102 ,
E,2018/10/29 8:58,3711,3711,141,26103 ,
I,2018/10/29 8:59,3709,3709,601,26116 ,
I,2018/10/29 8:59,3709,3709,143,26123 ,
I,2018/10/29 8:59,3715,3715,142,26136 ,
E,2018/10/29 8:59,3711,3711,129,26142 ,
E,2018/10/29 8:59,3717,3717,112,26145 ,
E,2018/10/29 8:59,3708,3711,110,26148 ,
E,2018/10/29 8:59,3708,3708,502,26149 ,
I,2018/10/29 9:00,3715,3715,304,26159 ,
I,2018/10/29 9:00,3717,3717,502,26160 ,
I,2018/10/29 9:00,3713,5141,110,26164 ,
I,2018/10/29 9:00,3709,3709,142,26165 ,
E,2018/10/29 9:00,3708,3708,112,26166 ,
I,2018/10/29 9:00,3708,3708,110,26179 ,
I,2018/10/29 9:01,3708,3708,142,26195 ,
E,2018/10/29 9:01,3717,3714,142,26200 ,
E,2018/10/29 9:01,3708,3711,142,26225 ,
I,2018/10/29 9:02,3713,3715,136,26239 ,
I,2018/10/29 9:02,3713,5301,142,26240 ,
I,2018/10/29 9:02,3715,3715,116,26243 ,
E,2018/10/29 9:02,3714,3714,129,26253 ,
I,2018/10/29 9:03,3715,3715,304,26272 ,
I,2018/10/29 9:03,3715,3715,116,26276 ,
I,2018/10/29 9:03,3703,3703,142,26283 ,
I,2018/10/29 9:03,3713,3715,143,26298 ,
E,2018/10/29 9:03,3708,3708,142,26300 ,
I,2018/10/29 9:04,3713,5301,310,26314 ,
I,2018/10/29 9:04,3715,3715,110,26315 ,
I,2018/10/29 9:04,3713,5301,142,26317 ,
E,2018/10/29 9:04,3708,3711,143,26320 ,
I,2018/10/29 9:04,3711,3711,142,26333 ,
I,2018/10/29 9:04,3715,3715,344,26340 ,
I,2018/10/29 9:05,3715,3715,305,26347 ,
I,2018/10/29 9:05,3715,3715,110,26347 ,
I,2018/10/29 9:05,3713,3715,110,26353 ,
E,2018/10/29 9:05,3708,3711,142,26354 ,
E,2018/10/29 9:05,3708,3711,142,26357 ,
E,2018/10/29 9:05,3717,3717,143,26359 ,
E,2018/10/29 9:05,3708,3708,303,26366 ,
E,2018/10/29 9:05,3711,3711,116,26366 ,
I,2018/10/29 9:05,3713,5301,143,26366 ,
I,2018/10/29 9:05,3713,3715,143,26373 ,
I,2018/10/29 9:05,3715,3715,116,26379 ,
I,2018/10/29 9:06,3715,3715,502,26385 ,
E,2018/10/29 9:06,3708,3708,142,26392 ,
E,2018/10/29 9:06,3717,3717,143,26392 ,
E,2018/10/29 9:06,3709,3709,143,26397 ,
E,2018/10/29 9:06,3709,3709,110,26397 ,
E,2018/10/29 9:06,3717,3717,142,26404 ,
E,2018/10/29 9:06,3708,3711,143,26410 ,
E,2018/10/29 9:06,3709,3709,502,26410 ,
I,2018/10/29 9:06,3713,5301,142,26410 ,
