I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,,,
E,2018-10-28 11:00:45,3708,3708,142,6823.159219,0.166666669,12.58653258,
I,2018-10-28 11:01:37,3715,3715,110,6855.884204,0.433333335,32.7249844,
I,2018-10-28 11:04:09,3715,3715,142,6951.54185,1.266666664,95.65764613,
E,2018-10-28 11:05:03,3715,5141,110,6985.525488,0.45,33.98363754,
I,2018-10-28 11:06:42,3715,3715,116,7047.828823,0.824999999,62.30333536,
I,2018-10-28 11:07:08,3715,3715,304,7064.191315,0.21666667,16.3624924,
E,2018-10-28 11:09:07,3715,3715,122,7139.081183,0.991666663,74.88986754,
E,2018-10-28 11:09:40,3715,3715,110,7159.848961,0.275000001,20.76777858,
E,2018-10-28 11:09:43,3715,3715,110,7161.736941,0.025000001,1.887979907,
E,2018-10-28 11:10:06,3715,3715,116,7176.211453,0.191666664,14.47451209,
I,2018-10-28 11:11:51,3715,3715,142,7242.290749,0.875,66.07929517,
I,2018-10-28 11:16:23,3715,3715,110,7413.467589,2.266666667,171.1768408,
I,2018-10-28 11:16:43,3715,3715,143,7426.054122,0.166666669,12.58653258,
E,2018-10-28 11:18:28,3715,3715,137,7492.133417,0.875,66.07929517,
E,2018-10-28 11:22:27,3711,3711,303,7642.542479,1.991666666,150.4090623,
I,2018-10-28 11:23:10,3715,3715,410,7669.603524,0.358333333,27.06104468,
I,2018-10-28 11:24:51,3715,3715,142,7733.165513,0.841666664,63.5619885,
I,2018-10-28 11:26:22,3715,3715,143,7790.434235,0.758333332,57.2687224,
E,2018-10-28 11:26:31,3715,3715,142,7796.098175,0.075000002,5.663939722,
I,2018-10-28 11:27:34,3715,3715,330,7835.745752,0.525000002,39.64757726,
I,2018-10-28 11:30:44,3715,3715,143,7955.31781,1.583333332,119.5720578,
E,2018-10-28 11:32:22,3708,3708,141,8016.991819,0.816666669,61.67400899,
I,2018-10-28 11:34:15,3715,3715,129,8088.105727,0.941666667,71.11390813,
E,2018-10-28 11:34:48,3723,3723,143,8108.873505,0.274999996,20.76777819,
E,2018-10-28 11:46:43,3723,3723,136,8558.842039,5.958333333,449.9685336,
I,2018-10-28 11:57:39,3715,3715,143,8971.680302,5.466666666,412.838263,
